Hour,Temperature(°C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(°C),Solar Radiation (MJ/m2),Rainfall(mm),Snowfall (cm),Seasons,Holiday,Weekend
0,-5.2,37,2.2,1.0,-17.6,0.0,0.0,0.0,1,0,0
1,-5.5,38,0.8,1.0,-17.6,0.0,0.0,0.0,1,0,0
2,-6.0,39,1.0,1.0,-17.7,0.0,0.0,0.0,1,0,0
3,-6.2,40,0.9,1.0,-17.6,0.0,0.0,0.0,1,0,0
4,-6.0,36,2.3,1.0,-18.6,0.0,0.0,0.0,1,0,0
5,-6.4,37,1.5,1.0,-18.7,0.0,0.0,0.0,1,0,0
6,-6.6,35,1.3,1.0,-19.5,0.0,0.0,0.0,1,0,0
7,-7.4,38,0.9,1.0,-19.3,0.0,0.0,0.0,1,0,0
8,-7.6,37,1.1,1.0,-19.8,0.01,0.0,0.0,1,0,0
9,-6.5,27,0.5,0.964,-22.4,0.23,0.0,0.0,1,0,0
10,-3.5,24,1.2,0.998,-21.2,0.65,0.0,0.0,1,0,0
11,-0.5,21,1.3,0.968,-20.2,0.94,0.0,0.0,1,0,0
12,1.7,23,1.4,1.0,-17.2,1.11,0.0,0.0,1,0,0
13,2.4,25,1.6,1.0,-15.6,1.16,0.0,0.0,1,0,0
14,3.0,26,2.0,1.0,-14.6,1.01,0.0,0.0,1,0,0
15,2.1,36,3.2,1.0,-11.4,0.54,0.0,0.0,1,0,0
16,1.2,54,4.2,0.3965,-7.0,0.24,0.0,0.0,1,0,0
17,0.8,58,1.6,1.0,-6.5,0.08,0.0,0.0,1,0,0
18,0.6,66,1.4,1.0,-5.0,0.0,0.0,0.0,1,0,0
19,0.0,77,1.7,1.0,-3.5,0.0,0.0,0.0,1,0,0
20,-0.3,79,1.5,0.9565,-3.5,0.0,0.0,0.0,1,0,0
21,-0.8,81,0.8,0.8435,-3.6,0.0,0.0,0.0,1,0,0
22,-0.9,83,1.5,0.69,-3.4,0.0,0.0,0.0,1,0,0
23,-1.3,84,1.0,0.6325,-3.6,0.0,0.0,0.0,1,0,0
0,-1.8,87,1.1,0.497,-3.6,0.0,0.0,0.0,1,0,1
1,-2.2,86,0.6,0.495,-4.2,0.0,0.0,0.0,1,0,1
2,-2.9,86,1.5,0.628,-4.9,0.0,0.0,0.0,1,0,1
3,-3.5,81,2.2,0.6105,-6.2,0.0,0.0,0.0,1,0,1
4,-3.8,79,2.0,0.5835,-6.9,0.0,0.0,0.0,1,0,1
5,-4.0,79,1.5,0.601,-7.1,0.0,0.0,0.0,1,0,1
6,-4.3,82,2.1,0.589,-6.9,0.0,0.0,0.0,1,0,1
7,-4.4,81,2.5,0.638,-7.1,0.0,0.0,0.0,1,0,1
8,-4.2,79,2.1,0.718,-7.3,0.01,0.0,0.0,1,0,1
9,-2.9,68,1.6,0.7435,-7.9,0.3,0.0,0.0,1,0,1
10,-0.4,57,1.6,0.6545,-7.8,0.8,0.0,0.0,1,0,1
11,1.9,49,1.8,0.703,-7.7,1.0,0.0,0.0,1,0,1
12,4.3,41,1.3,0.833,-7.8,1.09,0.0,0.0,1,0,1
13,6.0,36,1.8,0.89,-7.9,1.12,0.0,0.0,1,0,1
14,7.3,35,1.3,0.9775,-7.1,0.99,0.0,0.0,1,0,1
15,7.6,41,2.3,0.9765,-4.8,0.74,0.0,0.0,1,0,1
16,6.4,48,2.6,0.9725,-3.8,0.22,0.0,0.0,1,0,1
17,6.0,51,2.5,0.9455,-3.3,0.06,0.0,0.0,1,0,1
18,5.5,53,1.5,0.8485,-3.3,0.0,0.0,0.0,1,0,1
19,5.0,52,2.3,0.833,-4.0,0.0,0.0,0.0,1,0,1
20,4.6,51,1.2,0.7925,-4.6,0.0,0.0,0.0,1,0,1
21,4.1,55,1.2,0.724,-4.1,0.0,0.0,0.0,1,0,1
22,3.5,54,1.5,0.723,-4.9,0.0,0.0,0.0,1,0,1
23,4.0,56,1.0,0.676,-4.0,0.0,0.0,0.0,1,0,1
0,4.0,58,1.4,0.648,-3.5,0.0,0.0,0.0,1,0,1
1,3.9,69,1.7,0.2425,-1.2,0.0,0.0,0.0,1,0,1
2,3.3,79,1.4,0.415,0.0,0.0,0.0,0.0,1,0,1
3,3.4,71,1.6,0.5055,-1.3,0.0,0.5,0.0,1,0,1
4,3.5,73,1.0,0.53,-0.8,0.0,0.0,0.0,1,0,1
5,3.9,75,1.9,0.457,-0.1,0.0,0.0,0.0,1,0,1
6,3.4,86,2.5,0.139,1.2,0.0,1.0,0.0,1,0,1
7,3.1,91,1.2,0.0645,1.7,0.0,0.0,0.0,1,0,1
8,3.2,92,1.8,0.122,2.0,0.0,0.0,0.0,1,0,1
9,3.5,91,1.8,0.1155,2.1,0.02,2.5,0.0,1,0,1
10,4.4,89,2.2,0.1285,2.7,0.24,0.0,0.0,1,0,1
11,5.1,87,1.4,0.1605,3.1,0.25,0.0,0.0,1,0,1
12,5.8,85,1.7,0.1745,3.4,0.43,0.0,0.0,1,0,1
13,6.8,81,1.9,0.195,3.7,0.6,0.0,0.0,1,0,1
14,7.6,76,1.2,0.211,3.6,0.69,0.0,0.0,1,0,1
15,8.0,73,1.6,0.2165,3.4,0.53,0.0,0.0,1,0,1
16,7.6,77,1.6,0.1995,3.8,0.2,0.0,0.0,1,0,1
17,6.7,82,1.5,0.179,3.8,0.05,0.0,0.0,1,0,1
18,6.0,84,1.9,0.1635,3.4,0.0,0.0,0.0,1,0,1
19,5.7,85,1.7,0.1545,3.3,0.0,0.0,0.0,1,0,1
20,5.2,87,1.4,0.1265,3.2,0.0,0.0,0.0,1,0,1
21,4.7,87,1.2,0.1235,2.7,0.0,0.0,0.0,1,0,1
22,4.3,89,1.8,0.1005,2.6,0.0,0.0,0.0,1,0,1
23,3.9,90,1.3,0.097,2.4,0.0,0.0,0.0,1,0,1
0,4.2,88,0.6,0.108,2.3,0.0,0.0,0.0,1,0,0
1,4.3,87,0.5,0.1105,2.3,0.0,0.0,0.0,1,0,0
2,4.4,87,1.8,0.1035,2.4,0.0,0.0,0.0,1,0,0
3,3.6,85,2.3,0.103,1.3,0.0,0.0,0.0,1,0,0
4,2.8,89,1.5,0.065,1.1,0.0,0.0,0.0,1,0,0
5,2.0,83,2.7,0.1265,-0.5,0.0,0.0,0.0,1,0,0
6,1.2,76,3.7,0.1855,-2.5,0.0,0.1,0.0,1,0,0
7,0.2,68,3.4,0.351,-5.0,0.0,0.0,0.0,1,0,0
8,-0.8,69,3.5,0.477,-5.7,0.01,0.0,0.0,1,0,0
9,-1.5,47,4.2,0.944,-11.3,0.22,0.0,0.0,1,0,0
10,-1.1,40,4.5,1.0,-13.0,0.64,0.0,0.0,1,0,0
11,-0.5,41,4.1,0.8995,-12.1,0.94,0.0,0.0,1,0,0
12,-0.3,38,4.8,0.9115,-12.9,1.11,0.0,0.0,1,0,0
13,0.0,30,5.4,0.969,-15.5,1.17,0.0,0.0,1,0,0
14,0.1,27,4.5,1.0,-16.7,1.09,0.0,0.0,1,0,0
15,-0.1,25,5.8,1.0,-17.8,0.88,0.0,0.0,1,0,0
16,-0.2,23,4.7,1.0,-18.8,0.55,0.0,0.0,1,0,0
17,-1.3,26,5.3,1.0,-18.3,0.18,0.0,0.0,1,0,0
18,-2.1,29,3.9,1.0,-17.7,0.0,0.0,0.0,1,0,0
19,-2.9,32,3.2,1.0,-17.3,0.0,0.0,0.0,1,0,0
20,-3.6,38,3.0,1.0,-15.8,0.0,0.0,0.0,1,0,0
21,-4.6,43,4.5,1.0,-15.3,0.0,0.0,0.0,1,0,0
22,-5.3,45,2.5,1.0,-15.3,0.0,0.0,0.0,1,0,0
23,-5.8,44,2.4,1.0,-16.1,0.0,0.0,0.0,1,0,0
0,-6.1,42,2.6,1.0,-16.9,0.0,0.0,0.0,1,0,0
1,-6.5,41,2.8,1.0,-17.6,0.0,0.0,0.0,1,0,0
2,-6.8,41,2.5,1.0,-17.8,0.0,0.0,0.0,1,0,0
3,-6.9,39,2.0,1.0,-18.5,0.0,0.0,0.0,1,0,0
4,-7.2,34,3.0,1.0,-20.4,0.0,0.0,0.0,1,0,0
5,-7.4,33,2.6,1.0,-20.9,0.0,0.0,0.0,1,0,0
6,-7.4,34,3.2,1.0,-20.6,0.0,0.0,0.0,1,0,0
7,-7.5,33,2.2,1.0,-21.0,0.0,0.0,0.0,1,0,0
8,-8.1,36,1.6,1.0,-20.5,0.01,0.0,0.0,1,0,0
9,-7.6,31,1.3,0.987,-21.8,0.21,0.0,0.0,1,0,0
10,-5.5,26,2.8,0.9835,-22.0,0.64,0.0,0.0,1,0,0
11,-3.9,25,0.0,0.9795,-21.0,0.0,0.0,0.0,1,0,0
12,-2.3,25,0.0,0.981,-19.7,0.0,0.0,0.0,1,0,0
13,-1.6,27,0.0,0.9775,-18.2,0.0,0.0,0.0,1,0,0
14,-1.1,28,0.0,1.0,-17.3,0.0,0.0,0.0,1,0,0
15,-0.7,28,0.0,1.0,-16.9,0.0,0.0,0.0,1,0,0
16,-0.5,30,0.0,1.0,-16.0,0.0,0.0,0.0,1,0,0
17,-1.6,35,0.0,1.0,-15.1,0.0,0.0,0.0,1,0,0
18,-2.6,40,0.0,1.0,-14.4,0.0,0.0,0.0,1,0,0
19,-3.2,45,0.0,1.0,-13.5,0.0,0.0,0.0,1,0,0
